id	name	node_type
751535	MIR672	Gene
7518	XRCC4	Gene
752	FMNL1	Gene
7520	XRCC5	Gene
7538	ZFP36	Gene
7711	ZNF155	Gene
7763	ZFAND5	Gene
7832	BTG2	Gene
7850	IL1R2	Gene
7852	CXCR4	Gene
79027	ZNF655	Gene
79071	ELOVL6	Gene
79134	TMEM185B	Gene
7941	PLA2G7	Gene
79618	HMBOX1	Gene
79664	ICE2	Gene
79683	ZDHHC14	Gene
7975	MAFK	Gene
79803	HPS6	Gene
79811	SLTM	Gene
79834	PEAK1	Gene
79939	SLC35E1	Gene
7994	KAT6A	Gene
79992	AGPAT4-IT1	Gene
801	CALM1	Gene
8013	NR4A3	Gene
80228	ORAI2	Gene
80230	RUFY1	Gene
80301	PLEKHO2	Gene
80709	AKNA	Gene
80796	CALM4	Gene
810	CALML3	Gene
8140	SLC7A5	Gene
81552	VOPP1	Gene
81559	TRIM11	Gene
81566	CSRNP2	Gene
81849	ST6GALNAC5	Gene
8227	AKAP17A	Gene
8312	AXIN1	Gene
8314	BAP1	Gene
8337	H2AC18	Gene
834	CASP1	Gene
8342	H2BC14	Gene
8349	H2BC21	Gene
835	CASP2	Gene
8350	H3C1	Gene
83538	ODAD4	Gene
83556	TEX16	Gene
8358	H3C2	Gene
83667	SESN2	Gene
83698	CALN1	Gene
83699	SH3BGRL2	Gene
837	CASP4	Gene
83862	TMEM120A	Gene
83877	TM2D2	Gene
83931	STK40	Gene
8398	PLA2G6	Gene
840	CASP7	Gene
841	CASP8	Gene
842	CASP9	Gene
84261	FBXW9	Gene
84281	AKAP19	Gene
84289	ING5	Gene
84310	CHLSN	Gene
84314	TMEM107	Gene
84324	SARNP	Gene
84364	ARFGAP2	Gene
8439	NSMAF	Gene
84440	RAB11FIP4	Gene
8451	CUL4A	Gene
